name,link,imageURL,ingredients,time,portion,viewNumber,reviewNumber
도시락 반찬으로 최고! 스팸감자조림♡,https://www.10000recipe.com/recipe/6984517,https://recipe1.ezmember.co.kr/cache/recipe/2022/07/31/d804978cda6e3c8b4e3a94a1c19696041_m.jpg,"감자, 스팸, 진간장, 설탕, 후추, 올리고당, 다진마늘, 물",10,2,42000,40
새송이버섯버터굴소스볶음 간단반찬,https://www.10000recipe.com/recipe/6993517,https://recipe1.ezmember.co.kr/cache/recipe/2022/12/09/ee7c7222f2e3491f17d24c61dedd34181_m.jpg,"미니새송이버섯, 버터, 굴소스, 진간장, 통깨",5,2,24000,10
"고소한 맛이 좋은 밑반찬, 애호박버섯볶음 만들기(새우젓없이 만들기)",https://www.10000recipe.com/recipe/6991123,https://recipe1.ezmember.co.kr/cache/recipe/2022/10/31/10f241f6bc6fdcdd77ae96cdc92810101_m.jpg,"느타리버섯, 애호박, 식용유, 다진마늘, 소금, 참기름, 후춧가루",30,4,28000,21
아이반찬 양파소세지볶음 레시피 양파요리 초스피드반찬,https://www.10000recipe.com/recipe/6989690,https://recipe1.ezmember.co.kr/cache/recipe/2022/10/15/c94c0b75cdab225f0ee9883c0b9549c31_m.jpg,"양파, 비엔나소세지, 굴소스, 올리고당, 참기름, 통깨",10,4,9671,1
고구마떡 고구마씨를 말릴 수 있는 위험한 레시피,https://www.10000recipe.com/recipe/6996297,https://recipe1.ezmember.co.kr/img/icon_vod.png,"고구마, 설탕, 감자전분, 모짜렐라치즈, 식용유",20,2,18000,29
"내 인생 레시피,친정 엄마표 “파채무침”",https://www.10000recipe.com/recipe/6992063,https://recipe1.ezmember.co.kr/cache/recipe/2022/11/15/9e01753c1b0f35315692fd5c984db4be1_m.jpg,"잔파, 양파, 식초, 간장, 설탕, 고춧가루, 참기름, 통깨",30,3,25000,5
[밑반찬] 10분 밑반찬 딱딱하지않고 부드러운 오징어채,https://www.10000recipe.com/recipe/6994258,https://recipe1.ezmember.co.kr/cache/recipe/2022/12/24/0cbb4cb0beaa2ecae5c464ba27d2f9a41_m.jpg,"오징어채, 소주
또는, 마요네즈, 식용유, 다진마늘, 고추장, 고추가루, 간장, 올리고당, 설탕, 마요네즈, 참기름, 깨",5,4,11000,3
양배추오믈렛..,https://www.10000recipe.com/recipe/6997077,https://recipe1.ezmember.co.kr/cache/recipe/2023/02/15/ae25d353c17492c998228a5d84c8dc0b1_m.jpg,"계란, 양배추, 소금, 모짜렐라치즈, 카놀라유, 케찹",5,1,13000,8
버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,https://www.10000recipe.com/recipe/6912734,https://recipe1.ezmember.co.kr/cache/recipe/2019/05/25/39ac1e73e998e88da300d38663242f0a1_m.jpg,"새송이버섯, 버터, 어린잎채소, 간장, 맛술, 올리고당",15,1,359000,451
♥[신혼밥상] 팽이버섯 덮밥,https://www.10000recipe.com/recipe/6933760,https://recipe1.ezmember.co.kr/img/icon_vod.png,"팽이버섯, 대파, 양파, 달걀, 참기름, 통깨, 간장, 굴소스, 설탕, 맛술, 물",10,1,162000,150
♥[신혼밥상]오독오독 매운팽이버섯,https://www.10000recipe.com/recipe/6978378,https://recipe1.ezmember.co.kr/img/icon_vod.png,"팽이버섯, 쪽파, 청양고추, 다진마늘, 식용유, 고추장, 고춧가루, 설탕, 미림, 간장, 올리고당, 물",10,2,22000,15
[마늘종볶음]단짠단짠 자꾸만 손이가요~,https://www.10000recipe.com/recipe/6957535,https://recipe1.ezmember.co.kr/img/icon_vod.png,"건새우, 물, 마늘쫑, 소금, 설탕, 간장, 식용유, 참기름, 물엿, 통깨",20,3,79000,51
달콤 짭조름♡ 떡 베이컨 간장조림♡,https://www.10000recipe.com/recipe/6843136,https://recipe1.ezmember.co.kr/cache/recipe/2016/02/16/d74c6731fce3dc72c5579b24083185f11_m.jpg,"베이컨, 대파, 떡, 간장, 참기름, 물엿, 기름",5,3,209000,179
